Reference,Data.source,Region,Seamounts,Measurement,Phylum,Class,Order,Family,Taxon,Recovery.potential,time.since.TC,Type.n,n.TC,n.TA,n.NT,m.TC,m.TA,m.NT,s.TC,s.TA,s.NT,pre.S.TA,pre.S.NT,S.pooled.TA,S.pooled.NT,d.TA,d.NT,df.TA,df.NT,J.TA,J.NT,g.TA,g.NT,TA.Vd,NT.Vd,TA.Vg,NT.Vg,se.TA,se.NT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Hydrozoa,,,Hydroid,High,10,number of images,196,222,95,0.066618626,0.452717823,0.016653478,0.306555436,1.79969616,0.081376021,1.764720315,1.116894654,1.328427761,1.056832368,-0.290643728,0.047278216,416,289,0.998196031,0.997402597,-0.290119416,0.047155415,0.009707591,0.015632197,0.009672598,0.015551096,0.192764757,0.244419909,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Hydrozoa,,,Hydroid,High,15,number of images,270,343,347,1.787661618,3.097025397,2.144194025,5.440130603,7.02968187,4.25558723,40.68981791,40.74657635,6.378857101,6.383304501,-0.205266203,-0.055853893,611,615,0.998772002,0.998779992,-0.205014137,-0.055785751,0.006653523,0.006588076,0.006637192,0.006572011,0.159679166,0.158893163,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Isididae,Isididae,Low,0,number of images,107,131,52,0,0.003053435,0,0,0.024616853,0,0.000333808,0.00019685,0.018270406,0.014030327,-0.167124644,0,236,157,0.996818664,0.995215311,-0.166592965,0,0.01703806,0.028576564,0.016929825,0.028303758,0.255024734,0.329744926,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Isididae,Isididae,Low,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Isididae,Isididae,Low,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Isididae,Isididae,Low,8,number of images,375,234,220,0.005123297,0.022305737,0.20251324,0.071685814,0.251677743,1.092111354,0.027480305,0.026633662,0.165771846,0.163198228,-0.103651133,-1.209510329,607,593,0.998763906,0.998734711,-0.103523011,-1.207979949,0.006948992,0.008441462,0.006931823,0.008420113,0.163184838,0.179851906,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Isididae,Isididae,Low,10,number of images,196,222,95,0.040200524,0.077830398,0.004667989,0.185563821,0.21518182,0.045497931,0.040739489,0.038294529,0.201840256,0.19568988,-0.186433939,0.181575739,416,289,0.998196031,0.997402597,-0.186097618,0.181104114,0.009648121,0.015685006,0.009613343,0.015603631,0.192173407,0.244832409,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Isididae,Isididae,Low,15,number of images,270,343,347,0.012345679,0.031612688,1.046479599,0.202860206,0.362588316,3.535275283,0.091706705,0.09196533,0.30283115,0.303257861,-0.063622944,-3.410081167,611,615,0.998772002,0.998779992,-0.063544815,-3.40592084,0.006622457,0.016009092,0.006606203,0.015970054,0.159305956,0.247690448,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Isopoda,,Isopods,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Isopoda,,Isopods,High,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Isopoda,,Isopods,High,8,number of images,375,234,220,0.004206099,0.005682851,0.004940711,0.081450754,0.086930911,0.073282594,0.006988431,0.006975008,0.083596834,0.083516512,-0.017665174,-0.008796017,607,593,0.998763906,0.998734711,-0.017643338,-0.008784887,0.006940427,0.007212186,0.00692328,0.007193947,0.163084246,0.166241589,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Isopoda,,Isopods,High,15,number of images,270,343,347,0.012345679,0.005521689,0.02207825,0.202860206,0.102263115,0.205853617,0.023971371,0.023883477,0.154826906,0.154542801,0.044074961,-0.062976542,611,615,0.998772002,0.998779992,0.044020837,-0.06289971,0.00662074,0.006588762,0.00660449,0.006572695,0.159285301,0.158901434,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Scyphozoa,,,Jellyfish,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Scyphozoa,,,Jellyfish,High,5,number of images,330,199,90,0.018817447,0.011785773,0.012676199,0.142865899,0.124620332,0.13534477,0.018577028,0.019371529,0.136297572,0.13918164,0.05159061,0.044123983,527,418,0.998576175,0.998204668,0.051517154,0.044044766,0.008057944,0.014143732,0.008035014,0.014092992,0.175690955,0.232679261,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Scyphozoa,,,Jellyfish,High,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Scyphozoa,,,Jellyfish,High,15,number of images,270,343,347,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Arthropoda,Malacostraca,Decapoda,,Lobsters,High,0,number of images,107,131,52,0,0.002150306,0,0,0.024611382,0,0.000333659,0.000196763,0.018266346,0.014027209,-0.117719573,0,236,157,0.996818664,0.995215311,-0.117345067,0,0.017008495,0.028576564,0.016900448,0.028303758,0.254803378,0.329744926,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Lobsters,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Lobsters,High,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Lobsters,High,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Arthropoda,Malacostraca,Decapoda,,Lobsters,High,10,number of images,196,222,95,0.000971817,0,0,0.013605442,0,0,8.67694E-05,0.0001249,0.009315009,0.011175862,0.104328106,0.086956806,416,289,0.998196031,0.997402597,0.104139902,0.086730944,0.009619565,0.015641349,0.009584889,0.015560201,0.191888799,0.244491445,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Lobsters,High,15,number of images,270,343,347,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Narella spp,Low,0,number of images,107,131,52,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Narella spp,Low,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Narella spp,Low,5,number of images,330,199,90,0,0,0.022911907,0,0,0.141234139,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Narella spp,Low,8,number of images,375,234,220,0,0.014942323,0.007293448,0,0.228573584,0.076367338,0.020054845,0.019294854,0.141615129,0.138905918,-0.105513604,-0.052506389,607,593,0.998763906,0.998734711,-0.105383179,-0.052439953,0.006949311,0.007214438,0.006932142,0.007196193,0.163188593,0.166267538,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Narella spp,Low,10,number of images,196,222,95,0.003583784,0.004039068,0.00954771,0.038951116,0.038726148,0.046488323,0.001507906,0.001511506,0.038831764,0.038878086,-0.011724546,-0.153400717,416,289,0.998196031,0.997402597,-0.011703396,-0.153002274,0.00960671,0.015668789,0.009572081,0.015587499,0.19176054,0.244705813,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Narella spp,Low,15,number of images,270,343,347,0,0,0.004803074,0,0,0.089471355,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Cephalopoda,Octopoda,,Octopus,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Cephalopoda,Octopoda,,Octopus,High,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Cephalopoda,Octopoda,,Octopus,High,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Cephalopoda,Octopoda,,Octopus,High,15,number of images,270,343,347,0,0,0.004803074,0,0,0.089471355,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Ophiuroidea,,,Ophiuroids,High,0,number of images,107,131,52,0.045908116,0.029592312,0.140729175,0.211453339,0.122787211,0.372227929,0.028387701,0.035085594,0.168486501,0.187311488,0.096837455,-0.506221265,236,157,0.996818664,0.995215311,0.096529382,-0.503799154,0.016999083,0.029382413,0.016891095,0.029101914,0.254732863,0.334361948,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Ophiuroidea,,,Ophiuroids,High,0,number of images,35,32,13,0.079365079,0.020833333,0.371794872,0.469530142,0.11785113,1.114205094,0.121940714,0.166570815,0.349200105,0.40813088,0.167616633,-0.716509842,65,46,0.988416988,0.983606557,0.165675128,-0.704763779,0.060031095,0.11084228,0.058648468,0.107237895,0.474661936,0.641845073,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Ophiuroidea,,,Ophiuroids,High,5,number of images,330,199,90,0.287472001,0.034527603,0.521096427,1.088883382,0.205840604,1.322451337,0.756117228,0.942237825,0.869550015,0.970689355,0.290891143,-0.240678879,527,418,0.998576175,0.998204668,0.290476965,-0.240246781,0.008135408,0.014210374,0.008112257,0.014159395,0.176533417,0.233226783,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Ophiuroidea,,,Ophiuroids,High,8,number of images,375,234,220,0.903529206,0.289549728,1.673271147,4.130183947,1.339270899,2.969096447,11.19895966,11.42100752,3.346484672,3.379498117,0.183469981,-0.227768122,607,593,0.998763906,0.998734711,0.183243195,-0.22747993,0.006967807,0.007255716,0.006950592,0.007237367,0.163405617,0.166742522,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Ophiuroidea,,,Ophiuroids,High,10,number of images,196,222,95,0.054485701,0.03423203,0.108662287,0.340246083,0.140516689,0.365688501,0.064755467,0.084535179,0.254470955,0.290749341,0.079591286,-0.186334339,416,289,0.998196031,0.997402597,0.079447706,-0.185850353,0.009614123,0.015688014,0.009579467,0.015606623,0.191834512,0.244855886,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Ophiuroidea,,,Ophiuroids,High,15,number of images,270,343,347,1.928868308,0.455748686,4.288962319,4.431989363,2.937164862,6.540264087,13.47668264,13.44513958,3.671060152,3.666761457,0.401279075,-0.643645363,611,615,0.998772002,0.998779992,0.400786305,-0.642860111,0.006750497,0.006921269,0.006733928,0.006904391,0.160838611,0.162861625,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurids,High,0,number of images,107,131,52,0.060961587,0.089559312,0,0.232510044,0.261633241,0,0.061988184,0.058735715,0.248974264,0.242354522,-0.114862172,0.251538889,236,157,0.996818664,0.995215311,-0.114496757,0.250335353,0.017007099,0.028775532,0.016899061,0.028500826,0.254792919,0.33089088,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurids,High,0,number of images,35,32,13,0.780952381,0.979910714,0,3.182820364,2.338274255,0,7.906539497,8.913957912,2.811856948,2.985625213,-0.070756919,0.261570802,65,46,0.988416988,0.983606557,-0.06993734,0.257282756,0.059858791,0.106207206,0.058480132,0.102753546,0.473980246,0.6282818,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurids,High,5,number of images,330,199,90,0.321683256,0.637980759,0.041900566,0.914801227,1.540927077,0.256521263,1.414553514,1.164243947,1.189350038,1.079001365,-0.265941474,0.25929781,527,418,0.998576175,0.998204668,-0.26556282,0.258832284,0.008122276,0.014221456,0.008099163,0.014170438,0.17639089,0.233317708,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurids,High,8,number of images,375,234,220,1.156360253,2.00545273,0.949593017,2.906246494,3.568014006,2.089498091,10.09087836,10.02855486,3.176614293,3.166789361,-0.267294799,0.065292387,607,593,0.998763906,0.998734711,-0.266964397,0.065209773,0.00699883,0.007215704,0.006981538,0.007197455,0.163768974,0.166282123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurids,High,10,number of images,196,222,95,0.10793122,0.075181879,0.008455687,0.312700695,0.29947564,0.058087131,0.09348069,0.095148402,0.30574612,0.308461346,0.107112859,0.322489461,416,289,0.998196031,0.997402597,0.106919631,0.321651826,0.009620269,0.01580705,0.009585591,0.015725042,0.191895823,0.245783077,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurids,High,15,number of images,270,343,347,4.359489622,4.65383586,1.959993406,7.347463758,8.671728131,3.298543077,65.8593098,65.9200549,8.115374902,8.119116633,-0.036270196,0.295536611,611,615,0.998772002,0.998779992,-0.036225656,0.295176054,0.006620229,0.006656328,0.006603979,0.006640096,0.159279148,0.159714096,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Pargagorgiidae,Paragorgia spp,Low,0,number of images,107,131,52,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Pargagorgiidae,Paragorgia spp,Low,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Pargagorgiidae,Paragorgia spp,Low,5,number of images,330,199,90,0,0,0.019326001,0,0,0.14568269,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Pargagorgiidae,Paragorgia spp,Low,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,Pargagorgiidae,Paragorgia spp,Low,10,number of images,196,222,95,0,0,0.01202735,0,0,0.075993345,0,0,0,0,#DIV/0!,#DIV/0!,416,289,0.998196031,0.997402597,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,Pargagorgiidae,Paragorgia spp,Low,15,number of images,270,343,347,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Pennatulacea,,Pennatulacea,Medium,0,number of images,107,131,52,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Pennatulacea,,Pennatulacea,Medium,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Pennatulacea,,Pennatulacea,Medium,5,number of images,330,199,90,0.002408826,0,0,0.043758496,0,0,0.001195391,0.001507108,0.03457443,0.03882149,0.069670734,0.062048776,527,418,0.998576175,0.998204668,0.069571535,0.061937378,0.008060017,0.014145998,0.008037081,0.01409525,0.175713544,0.232697896,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Pennatulacea,,Pennatulacea,Medium,8,number of images,375,234,220,0,0,0.014263979,0,0,0.211568994,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Pennatulacea,,Pennatulacea,Medium,10,number of images,196,222,95,0.000583758,0,0,0.008172605,0,0,3.13085E-05,4.50669E-05,0.0055954,0.00671319,0.104328106,0.086956806,416,289,0.998196031,0.997402597,0.104139902,0.086730944,0.009619565,0.015641349,0.009584889,0.015560201,0.191888799,0.244491445,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Pennatulacea,,Pennatulacea,Medium,15,number of images,270,343,347,0.006685386,0.008943104,0,0.109852097,0.165628603,0,0.020668056,0.020712055,0.14376389,0.143916833,-0.015704348,0.046453119,611,615,0.998772002,0.998779992,-0.015685064,0.046396446,0.006619357,0.006587297,0.00660311,0.006571233,0.15926866,0.158883764,,,,,,,,,,,,,,,,,,,,,,,,,,,
